chrom	length	end_pos	chr_type	species	reference
NC_033660.1	99502585	114275158	aut	Microcebus_griseorufus_ssp	Microcebus_murinus_ssp
NC_033661.1	117397958	141293560	aut	Microcebus_griseorufus_ssp	Microcebus_murinus_ssp
NC_033662.1	102494925	119750852	aut	Microcebus_griseorufus_ssp	Microcebus_murinus_ssp
NC_033663.1	64330686	73916451	aut	Microcebus_griseorufus_ssp	Microcebus_murinus_ssp
NC_033664.1	99851848	116768263	aut	Microcebus_griseorufus_ssp	Microcebus_murinus_ssp
NC_033665.1	103394563	123387833	aut	Microcebus_griseorufus_ssp	Microcebus_murinus_ssp
NC_033666.1	89492618	108161849	aut	Microcebus_griseorufus_ssp	Microcebus_murinus_ssp
NC_033667.1	137775575	159902591	aut	Microcebus_griseorufus_ssp	Microcebus_murinus_ssp
NC_033668.1	97363934	116330782	aut	Microcebus_griseorufus_ssp	Microcebus_murinus_ssp
NC_033669.1	84871888	98463636	aut	Microcebus_griseorufus_ssp	Microcebus_murinus_ssp
NC_033670.1	95182001	108224721	aut	Microcebus_griseorufus_ssp	Microcebus_murinus_ssp
NC_033671.1	93147328	108127801	aut	Microcebus_griseorufus_ssp	Microcebus_murinus_ssp
NC_033672.1	74715845	86920166	aut	Microcebus_griseorufus_ssp	Microcebus_murinus_ssp
NC_033673.1	82235721	93315006	aut	Microcebus_griseorufus_ssp	Microcebus_murinus_ssp
NC_033674.1	67816630	77693121	aut	Microcebus_griseorufus_ssp	Microcebus_murinus_ssp
NC_033675.1	55121956	65900726	aut	Microcebus_griseorufus_ssp	Microcebus_murinus_ssp
NC_033676.1	52388896	60691191	aut	Microcebus_griseorufus_ssp	Microcebus_murinus_ssp
NC_033677.1	48760669	57145705	aut	Microcebus_griseorufus_ssp	Microcebus_murinus_ssp
NC_033678.1	69503297	83064447	aut	Microcebus_griseorufus_ssp	Microcebus_murinus_ssp
NC_033679.1	57921562	72247346	aut	Microcebus_griseorufus_ssp	Microcebus_murinus_ssp
NC_033680.1	24210674	31812266	aut	Microcebus_griseorufus_ssp	Microcebus_murinus_ssp
NC_033681.1	18428411	30143566	aut	Microcebus_griseorufus_ssp	Microcebus_murinus_ssp
NC_033682.1	25353438	33083407	aut	Microcebus_griseorufus_ssp	Microcebus_murinus_ssp
NC_033683.1	10745604	15088621	aut	Microcebus_griseorufus_ssp	Microcebus_murinus_ssp
NC_033684.1	22275162	28147724	aut	Microcebus_griseorufus_ssp	Microcebus_murinus_ssp
NC_033685.1	19618659	29213613	aut	Microcebus_griseorufus_ssp	Microcebus_murinus_ssp
NC_033686.1	30049602	36797773	aut	Microcebus_griseorufus_ssp	Microcebus_murinus_ssp
NC_033687.1	9534618	12210877	aut	Microcebus_griseorufus_ssp	Microcebus_murinus_ssp
NC_033688.1	13730374	23275754	aut	Microcebus_griseorufus_ssp	Microcebus_murinus_ssp
NC_033689.1	6912261	12809780	aut	Microcebus_griseorufus_ssp	Microcebus_murinus_ssp
NC_033690.1	39473948	47401443	aut	Microcebus_griseorufus_ssp	Microcebus_murinus_ssp
NC_033691.1	7066904	9149376	aut	Microcebus_griseorufus_ssp	Microcebus_murinus_ssp
NC_033692.1	109476871	144921569	chrX	Microcebus_griseorufus_ssp	Microcebus_murinus_ssp
NW_017968519.1	1318946	3400151	aut	Microcebus_griseorufus_ssp	Microcebus_murinus_ssp
NW_017968520.1	2010562	3286456	aut	Microcebus_griseorufus_ssp	Microcebus_murinus_ssp
NW_017968521.1	2201282	2678701	aut	Microcebus_griseorufus_ssp	Microcebus_murinus_ssp
NW_017968522.1	1132689	1578665	aut	Microcebus_griseorufus_ssp	Microcebus_murinus_ssp
NW_017968523.1	1008859	1445139	aut	Microcebus_griseorufus_ssp	Microcebus_murinus_ssp
NW_017968524.1	642715	1327788	aut	Microcebus_griseorufus_ssp	Microcebus_murinus_ssp
CM106344.1	148788143	167536897	chrX	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp
CM106345.1	179516383	188808048	aut	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp
CM106346.1	145248310	152319922	aut	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp
CM106347.1	127257973	135447575	aut	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp
CM106348.1	126759837	133466817	aut	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp
CM106349.1	125250759	130484388	aut	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp
CM106350.1	88192935	93284498	aut	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp
CM106351.1	71661962	74380117	aut	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp
CM106352.1	95876151	99840474	aut	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp
CM106353.1	80619901	85766858	aut	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp
CM106354.1	92782531	96475295	aut	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp
CM106355.1	77127232	81097944	aut	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp
CM106356.1	81071826	88395784	aut	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp
CM106357.1	68672004	73931653	aut	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp
CM106358.1	58397661	60741309	aut	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp
CM106359.1	70705737	73628158	aut	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp
CM106360.1	127153460	136483534	aut	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp
CM106361.1	122643682	128168341	aut	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp
CM106362.1	147017892	153493120	aut	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp
CM106363.1	151141558	160731149	aut	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp
CM106364.1	110263130	117177655	aut	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp
CM106365.1	107479742	117142634	aut	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp
CM106366.1	190632798	198656013	aut	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp
CM106367.1	174762589	192210750	aut	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp
CM038516.1	220910921	256316290	aut	Hylobates_abbotti_ssp	Hylobates_pileatus_ssp
CM038517.1	167069902	191637572	aut	Hylobates_abbotti_ssp	Hylobates_pileatus_ssp
CM038518.1	164403011	189752798	aut	Hylobates_abbotti_ssp	Hylobates_pileatus_ssp
CM038519.1	158104345	181061439	aut	Hylobates_abbotti_ssp	Hylobates_pileatus_ssp
CM038520.1	145334787	165894608	aut	Hylobates_abbotti_ssp	Hylobates_pileatus_ssp
CM038521.1	126535638	155936748	chrX	Hylobates_abbotti_ssp	Hylobates_pileatus_ssp
CM038522.1	125476228	143399312	aut	Hylobates_abbotti_ssp	Hylobates_pileatus_ssp
CM038523.1	119239275	137650964	aut	Hylobates_abbotti_ssp	Hylobates_pileatus_ssp
CM038524.1	115856512	131825174	aut	Hylobates_abbotti_ssp	Hylobates_pileatus_ssp
CM038525.1	111412406	129138246	aut	Hylobates_abbotti_ssp	Hylobates_pileatus_ssp
CM038526.1	100455068	114496597	aut	Hylobates_abbotti_ssp	Hylobates_pileatus_ssp
CM038527.1	98985264	114287294	aut	Hylobates_abbotti_ssp	Hylobates_pileatus_ssp
CM038528.1	97838371	113526531	aut	Hylobates_abbotti_ssp	Hylobates_pileatus_ssp
CM038529.1	99113814	112894407	aut	Hylobates_abbotti_ssp	Hylobates_pileatus_ssp
CM038530.1	95025589	108794905	aut	Hylobates_abbotti_ssp	Hylobates_pileatus_ssp
CM038531.1	90139336	103830213	aut	Hylobates_abbotti_ssp	Hylobates_pileatus_ssp
CM038532.1	82375428	93105182	aut	Hylobates_abbotti_ssp	Hylobates_pileatus_ssp
CM038533.1	78613255	89902810	aut	Hylobates_abbotti_ssp	Hylobates_pileatus_ssp
CM038534.1	78369474	88875818	aut	Hylobates_abbotti_ssp	Hylobates_pileatus_ssp
CM038535.1	75020395	84332306	aut	Hylobates_abbotti_ssp	Hylobates_pileatus_ssp
CM038536.1	54570747	61310737	aut	Hylobates_abbotti_ssp	Hylobates_pileatus_ssp
CM038537.1	51041925	57515124	aut	Hylobates_abbotti_ssp	Hylobates_pileatus_ssp
JAKFGR010000015.1	1945143	2432039	aut	Hylobates_abbotti_ssp	Hylobates_pileatus_ssp
JAKFGR010000016.1	1813884	2118805	aut	Hylobates_abbotti_ssp	Hylobates_pileatus_ssp
JAKFGR010000017.1	1281777	1487987	aut	Hylobates_abbotti_ssp	Hylobates_pileatus_ssp
JAKFGR010000018.1	729869	1098640	aut	Hylobates_abbotti_ssp	Hylobates_pileatus_ssp
NW_022680461.1	1194946	1302500	chrX	Trachypithecus_francoisi_ssp	Trachypithecus_francoisi_ssp
NW_022680465.1	975549	1068543	chrX	Trachypithecus_francoisi_ssp	Trachypithecus_francoisi_ssp
NW_022680471.1	1289114	1393220	aut	Trachypithecus_francoisi_ssp	Trachypithecus_francoisi_ssp
NW_022680749.1	9146801	9416733	aut	Trachypithecus_francoisi_ssp	Trachypithecus_francoisi_ssp
NW_022681430.1	3361361	3496144	aut	Trachypithecus_francoisi_ssp	Trachypithecus_francoisi_ssp
NW_022681431.1	30751722	31591769	aut	Trachypithecus_francoisi_ssp	Trachypithecus_francoisi_ssp
NW_022681432.1	5440407	6072297	chrX	Trachypithecus_francoisi_ssp	Trachypithecus_francoisi_ssp
NW_022681433.1	19199964	19784472	aut	Trachypithecus_francoisi_ssp	Trachypithecus_francoisi_ssp
NW_022681435.1	22722517	23458404	aut	Trachypithecus_francoisi_ssp	Trachypithecus_francoisi_ssp
NW_022681437.1	1826326	1950640	chrX	Trachypithecus_francoisi_ssp	Trachypithecus_francoisi_ssp
NW_022681439.1	4069944	4243543	aut	Trachypithecus_francoisi_ssp	Trachypithecus_francoisi_ssp
NW_022681440.1	6729582	6862874	aut	Trachypithecus_francoisi_ssp	Trachypithecus_francoisi_ssp
NW_022681441.1	2549645	2699882	aut	Trachypithecus_francoisi_ssp	Trachypithecus_francoisi_ssp
NW_022681442.1	36123091	36897567	aut	Trachypithecus_francoisi_ssp	Trachypithecus_francoisi_ssp
NW_022681443.1	1885227	1919370	aut	Trachypithecus_francoisi_ssp	Trachypithecus_francoisi_ssp
NW_022681444.1	10863470	11161103	aut	Trachypithecus_francoisi_ssp	Trachypithecus_francoisi_ssp
NW_022681445.1	2994356	3153827	chrX	Trachypithecus_francoisi_ssp	Trachypithecus_francoisi_ssp
NW_022681446.1	1464216	1501976	aut	Trachypithecus_francoisi_ssp	Trachypithecus_francoisi_ssp
NW_022681447.1	1073587	1124455	aut	Trachypithecus_francoisi_ssp	Trachypithecus_francoisi_ssp
NW_022681448.1	1852946	1926672	aut	Trachypithecus_francoisi_ssp	Trachypithecus_francoisi_ssp
NW_022681450.1	1398500	1481835	aut	Trachypithecus_francoisi_ssp	Trachypithecus_francoisi_ssp
NW_022681451.1	1075415	1167352	aut	Trachypithecus_francoisi_ssp	Trachypithecus_francoisi_ssp
NW_022681453.1	191462210	196507731	aut	Trachypithecus_francoisi_ssp	Trachypithecus_francoisi_ssp
NW_022681454.1	177184850	183716459	aut	Trachypithecus_francoisi_ssp	Trachypithecus_francoisi_ssp
NW_022681455.1	126007394	130980007	aut	Trachypithecus_francoisi_ssp	Trachypithecus_francoisi_ssp
NW_022681456.1	127969014	132225629	aut	Trachypithecus_francoisi_ssp	Trachypithecus_francoisi_ssp
NW_022681457.1	116452977	121848611	aut	Trachypithecus_francoisi_ssp	Trachypithecus_francoisi_ssp
NW_022681458.1	125579848	131301440	aut	Trachypithecus_francoisi_ssp	Trachypithecus_francoisi_ssp
NW_022681459.1	60455908	63123175	aut	Trachypithecus_francoisi_ssp	Trachypithecus_francoisi_ssp
NW_022681460.1	111453534	115096362	aut	Trachypithecus_francoisi_ssp	Trachypithecus_francoisi_ssp
NW_022681461.1	96033105	99203500	aut	Trachypithecus_francoisi_ssp	Trachypithecus_francoisi_ssp
NW_022681462.1	104625616	108521253	aut	Trachypithecus_francoisi_ssp	Trachypithecus_francoisi_ssp
NW_022681463.1	71425390	73783123	aut	Trachypithecus_francoisi_ssp	Trachypithecus_francoisi_ssp
NW_022681464.1	48978871	50697668	aut	Trachypithecus_francoisi_ssp	Trachypithecus_francoisi_ssp
NW_022681465.1	171754883	178942694	aut	Trachypithecus_francoisi_ssp	Trachypithecus_francoisi_ssp
NW_022681466.1	69676681	72259591	aut	Trachypithecus_francoisi_ssp	Trachypithecus_francoisi_ssp
NW_022681467.1	58245486	60156861	aut	Trachypithecus_francoisi_ssp	Trachypithecus_francoisi_ssp
NW_022681468.1	159086763	164878880	aut	Trachypithecus_francoisi_ssp	Trachypithecus_francoisi_ssp
NW_022681469.1	146528576	152494701	aut	Trachypithecus_francoisi_ssp	Trachypithecus_francoisi_ssp
NW_022681470.1	144763981	149663441	aut	Trachypithecus_francoisi_ssp	Trachypithecus_francoisi_ssp
NW_022681471.1	118061168	130977608	chrX	Trachypithecus_francoisi_ssp	Trachypithecus_francoisi_ssp
NW_022681472.1	96544183	100323567	aut	Trachypithecus_francoisi_ssp	Trachypithecus_francoisi_ssp
NW_022681473.1	119411131	122769875	aut	Trachypithecus_francoisi_ssp	Trachypithecus_francoisi_ssp
NW_022681474.1	73850038	78391498	aut	Trachypithecus_francoisi_ssp	Trachypithecus_francoisi_ssp
NW_022680461.1	1154957	1303051	chrX	Trachypithecus_auratus_ssp	Trachypithecus_francoisi_ssp
NW_022680465.1	947850	1068559	chrX	Trachypithecus_auratus_ssp	Trachypithecus_francoisi_ssp
NW_022680471.1	1261310	1393254	aut	Trachypithecus_auratus_ssp	Trachypithecus_francoisi_ssp
NW_022680749.1	8892848	9416089	aut	Trachypithecus_auratus_ssp	Trachypithecus_francoisi_ssp
NW_022681430.1	3260942	3494014	aut	Trachypithecus_auratus_ssp	Trachypithecus_francoisi_ssp
NW_022681431.1	29835828	31591777	aut	Trachypithecus_auratus_ssp	Trachypithecus_francoisi_ssp
NW_022681432.1	5101552	6072282	chrX	Trachypithecus_auratus_ssp	Trachypithecus_francoisi_ssp
NW_022681433.1	18590877	19784404	aut	Trachypithecus_auratus_ssp	Trachypithecus_francoisi_ssp
NW_022681435.1	22088080	23458499	aut	Trachypithecus_auratus_ssp	Trachypithecus_francoisi_ssp
NW_022681437.1	1761536	1950634	chrX	Trachypithecus_auratus_ssp	Trachypithecus_francoisi_ssp
NW_022681439.1	3957011	4243511	aut	Trachypithecus_auratus_ssp	Trachypithecus_francoisi_ssp
NW_022681440.1	6591627	6862648	aut	Trachypithecus_auratus_ssp	Trachypithecus_francoisi_ssp
NW_022681441.1	2490207	2699881	aut	Trachypithecus_auratus_ssp	Trachypithecus_francoisi_ssp
NW_022681442.1	35374976	36897518	aut	Trachypithecus_auratus_ssp	Trachypithecus_francoisi_ssp
NW_022681443.1	1819003	1918123	aut	Trachypithecus_auratus_ssp	Trachypithecus_francoisi_ssp
NW_022681444.1	10538574	11161194	aut	Trachypithecus_auratus_ssp	Trachypithecus_francoisi_ssp
NW_022681445.1	2893881	3153827	chrX	Trachypithecus_auratus_ssp	Trachypithecus_francoisi_ssp
NW_022681446.1	1426946	1504371	aut	Trachypithecus_auratus_ssp	Trachypithecus_francoisi_ssp
NW_022681447.1	1052379	1124497	aut	Trachypithecus_auratus_ssp	Trachypithecus_francoisi_ssp
NW_022681448.1	1791950	1926502	aut	Trachypithecus_auratus_ssp	Trachypithecus_francoisi_ssp
NW_022681450.1	1353395	1489256	aut	Trachypithecus_auratus_ssp	Trachypithecus_francoisi_ssp
NW_022681451.1	996135	1160913	aut	Trachypithecus_auratus_ssp	Trachypithecus_francoisi_ssp
NW_022681453.1	186547990	196507613	aut	Trachypithecus_auratus_ssp	Trachypithecus_francoisi_ssp
NW_022681454.1	172288390	183716452	aut	Trachypithecus_auratus_ssp	Trachypithecus_francoisi_ssp
NW_022681455.1	123325911	130978542	aut	Trachypithecus_auratus_ssp	Trachypithecus_francoisi_ssp
NW_022681456.1	124236797	132224998	aut	Trachypithecus_auratus_ssp	Trachypithecus_francoisi_ssp
NW_022681457.1	112952649	121848611	aut	Trachypithecus_auratus_ssp	Trachypithecus_francoisi_ssp
NW_022681458.1	122055111	131301441	aut	Trachypithecus_auratus_ssp	Trachypithecus_francoisi_ssp
NW_022681459.1	58755135	63118035	aut	Trachypithecus_auratus_ssp	Trachypithecus_francoisi_ssp
NW_022681460.1	108402905	115101047	aut	Trachypithecus_auratus_ssp	Trachypithecus_francoisi_ssp
NW_022681461.1	93601315	99207283	aut	Trachypithecus_auratus_ssp	Trachypithecus_francoisi_ssp
NW_022681462.1	102109171	108520997	aut	Trachypithecus_auratus_ssp	Trachypithecus_francoisi_ssp
NW_022681463.1	69393475	73783068	aut	Trachypithecus_auratus_ssp	Trachypithecus_francoisi_ssp
NW_022681464.1	47631175	50696383	aut	Trachypithecus_auratus_ssp	Trachypithecus_francoisi_ssp
NW_022681465.1	165991157	178942668	aut	Trachypithecus_auratus_ssp	Trachypithecus_francoisi_ssp
NW_022681466.1	67669971	72259646	aut	Trachypithecus_auratus_ssp	Trachypithecus_francoisi_ssp
NW_022681467.1	56623877	60157383	aut	Trachypithecus_auratus_ssp	Trachypithecus_francoisi_ssp
NW_022681468.1	155104133	164878820	aut	Trachypithecus_auratus_ssp	Trachypithecus_francoisi_ssp
NW_022681469.1	142725464	152494705	aut	Trachypithecus_auratus_ssp	Trachypithecus_francoisi_ssp
NW_022681470.1	140852459	149663433	aut	Trachypithecus_auratus_ssp	Trachypithecus_francoisi_ssp
NW_022681471.1	113216395	130977653	chrX	Trachypithecus_auratus_ssp	Trachypithecus_francoisi_ssp
NW_022681472.1	93530714	100323500	aut	Trachypithecus_auratus_ssp	Trachypithecus_francoisi_ssp
NW_022681473.1	116177990	122769910	aut	Trachypithecus_auratus_ssp	Trachypithecus_francoisi_ssp
NW_022681474.1	72204811	78391474	aut	Trachypithecus_auratus_ssp	Trachypithecus_francoisi_ssp
CM052624.1	171082807	176542115	aut	Pithecia_hirsuta_ssp	Pithecia_pithecia_ssp
CM052625.1	156218542	161924013	aut	Pithecia_hirsuta_ssp	Pithecia_pithecia_ssp
CM052626.1	141823217	146644531	aut	Pithecia_hirsuta_ssp	Pithecia_pithecia_ssp
CM052627.1	139521001	144431740	aut	Pithecia_hirsuta_ssp	Pithecia_pithecia_ssp
CM052628.1	128767507	132938176	aut	Pithecia_hirsuta_ssp	Pithecia_pithecia_ssp
CM052629.1	113747222	117518404	aut	Pithecia_hirsuta_ssp	Pithecia_pithecia_ssp
CM052630.1	110006835	113617875	aut	Pithecia_hirsuta_ssp	Pithecia_pithecia_ssp
CM052631.1	108308223	111852312	aut	Pithecia_hirsuta_ssp	Pithecia_pithecia_ssp
CM052632.1	105324611	108767311	aut	Pithecia_hirsuta_ssp	Pithecia_pithecia_ssp
CM052633.1	103348484	106303987	aut	Pithecia_hirsuta_ssp	Pithecia_pithecia_ssp
CM052634.1	100439656	103980543	aut	Pithecia_hirsuta_ssp	Pithecia_pithecia_ssp
CM052635.1	98273991	101604396	aut	Pithecia_hirsuta_ssp	Pithecia_pithecia_ssp
CM052636.1	92453100	95387274	aut	Pithecia_hirsuta_ssp	Pithecia_pithecia_ssp
CM052637.1	85276363	88318642	aut	Pithecia_hirsuta_ssp	Pithecia_pithecia_ssp
CM052638.1	83652827	86407799	aut	Pithecia_hirsuta_ssp	Pithecia_pithecia_ssp
CM052639.1	81237204	83946998	aut	Pithecia_hirsuta_ssp	Pithecia_pithecia_ssp
CM052640.1	80021724	82658729	aut	Pithecia_hirsuta_ssp	Pithecia_pithecia_ssp
CM052641.1	64948051	67173385	aut	Pithecia_hirsuta_ssp	Pithecia_pithecia_ssp
CM052642.1	62670826	64770822	aut	Pithecia_hirsuta_ssp	Pithecia_pithecia_ssp
CM052643.1	50858796	52281539	aut	Pithecia_hirsuta_ssp	Pithecia_pithecia_ssp
CM052644.1	42197186	43431080	aut	Pithecia_hirsuta_ssp	Pithecia_pithecia_ssp
CM052645.1	39493140	41534431	aut	Pithecia_hirsuta_ssp	Pithecia_pithecia_ssp
CM052646.1	38882848	40188757	aut	Pithecia_hirsuta_ssp	Pithecia_pithecia_ssp
CM052647.1	124998772	129401497	chrX	Pithecia_hirsuta_ssp	Pithecia_pithecia_ssp
JAPYXZ010000025.1	41678	1027949	aut	Pithecia_hirsuta_ssp	Pithecia_pithecia_ssp
NC_033660.1	101592100	114275250	aut	Microcebus_murinus_ssp	Microcebus_murinus_ssp
NC_033661.1	120486187	141293520	aut	Microcebus_murinus_ssp	Microcebus_murinus_ssp
NC_033662.1	105193822	119750848	aut	Microcebus_murinus_ssp	Microcebus_murinus_ssp
NC_033663.1	66077202	73900328	aut	Microcebus_murinus_ssp	Microcebus_murinus_ssp
NC_033664.1	102709816	116768251	aut	Microcebus_murinus_ssp	Microcebus_murinus_ssp
NC_033665.1	106086222	123387718	aut	Microcebus_murinus_ssp	Microcebus_murinus_ssp
NC_033666.1	92015684	108161867	aut	Microcebus_murinus_ssp	Microcebus_murinus_ssp
NC_033667.1	141279383	159902603	aut	Microcebus_murinus_ssp	Microcebus_murinus_ssp
NC_033668.1	99458260	116330751	aut	Microcebus_murinus_ssp	Microcebus_murinus_ssp
NC_033669.1	87238284	98463671	aut	Microcebus_murinus_ssp	Microcebus_murinus_ssp
NC_033670.1	97784013	108224767	aut	Microcebus_murinus_ssp	Microcebus_murinus_ssp
NC_033671.1	95535252	108127810	aut	Microcebus_murinus_ssp	Microcebus_murinus_ssp
NC_033672.1	77002574	86919946	aut	Microcebus_murinus_ssp	Microcebus_murinus_ssp
NC_033673.1	84908001	93314997	aut	Microcebus_murinus_ssp	Microcebus_murinus_ssp
NC_033674.1	69839778	77693114	aut	Microcebus_murinus_ssp	Microcebus_murinus_ssp
