ID,ID_PGDP,group,family,genus,species,subspecies,species_full,species_short,species_genotyping,reference,SEX,len_chrA,len_chrA_contigs_shorter_than_1Mb,len_chrX,len_chrX_contigs_shorter_than_1Mb,len_chrY,len_chrY_contigs_shorter_than_1Mb,total_seq_chrA,total_seq_chrX,total_seq_chrY,len_cov_chrA,len_cov_chrX,len_cov_chrY,frac_cov_chrA,frac_cov_chrX,frac_cov_chrY,frac_cov_gw,rel_frac_cov_YX,nonN_frac,frac_cov_gw_cor,threshold,threshold_chrX,good_frac_cov,cov_chrA,cov_chrX,cov_chrY,cov_gw,rel_cov_chrX,gSEX,gSEX_source,callable_chrA,callable_chrX,GT00_chrA,GT01_chrA,GT11_chrA,GTmis_chrA,GT00_chrX,GT0_chrX,GT01_chrX,GT11_chrX,GT1_chrX,GTmis_chrX,het_chrA,het_chrX,rel_chrX_het,hom_alt_chrA,hom_alt_chrX,hem_alt_chrX,rel_chrX_hom_alt,mis_chrA,mis_chrX,div_chrA,clade,subclade_split,sample_used_for_q,q25_div_chrA,q50_div_chrA,q75_div_chrA,q25_frac_cov_chrA,q50_frac_cov_chrA,q75_frac_cov_chrA,zscore_div_chrA,zscore_frac_cov_chrA,dupl_group,remove_as_duplicate,low_mis,low_frac_cov_qc,high_div_chrA_qc,high_mis_qc,low_div_chrA_qc,masterQC,manual_fix,reason,finalQC,Kuderna_AB_QC,Kuderna_COV_QC,relatives,remove_as_relative,generation,founder,remove_manual,pedigree_source,MQ1kb,MQ1Mb,total_reads,mapped_reads,properly_paired_reads,f_mapped_reads
PD_0019,PD_0019,PLA,Pitheciidae,Cacajao,ayresi,ssp,Cacajao_ayresi_ssp,C.ayresi_ssp,Cacajao_ayresi_ssp,Pithecia_pithecia,F,2273371232,254300594.0,129401584.0,0.0,,,81734810732.0,4685281474.0,,2219974915,124671725.0,,0.9765,0.9634,,0.9758,,0.993,0.9827,0.9,0.9,True,36.8179,37.5809,,36.8585,1.0207,F,chrX,2069058428,116169823.0,815643,1209857,54135945,636538,35217.0,,53844.0,2576434.0,,39798.0,0.0005847,0.0004635,0.7926523,0.0261645,0.0221782,,0.8476425,0.0003076,0.0003426,0.0264569,Pithecia_pithecia_ssp4,0.0,True,0.026349,0.0263863,0.0263984,0.9765,0.9768,0.9769,1.4272,-0.625,,False,True,ok,ok,ok,ok,ok,,,ok,,,,,,,,,55.7374,57.371,708267320,655731624,599600280,0.926
PD_0020,PD_0020,PLA,Pitheciidae,Cacajao,calvus,ssp,Cacajao_calvus_ssp,C.calvus_ssp,Cacajao_calvus_ssp,Pithecia_pithecia,F,2273371232,254300594.0,129401584.0,0.0,,,85293194879.0,4921776662.0,,2221717952,124706770.0,,0.9773,0.9637,,0.9765,,0.993,0.9834,0.9,0.9,True,38.3906,39.4668,,38.4478,1.028,F,chrX,2074762343,116262224.0,12910337,2318991,53406512,1399350,539273.0,,108013.0,2534090.0,,77340.0,0.0011177,0.000929,0.8312022,0.025741,0.0217963,,0.8467546,0.0006745,0.0006652,0.0262999,Pithecia_pithecia_ssp4,0.0,True,0.026349,0.0263863,0.0263984,0.9765,0.9768,0.9769,-1.7461,1.375,,False,True,ok,ok,ok,ok,ok,,,ok,,,,,,,,,55.4448,57.0242,756517606,705002630,656475758,0.932
PD_0021,PD_0021,PLA,Pitheciidae,Cacajao,calvus,ssp,Cacajao_calvus_ssp,C.calvus_ssp,Cacajao_calvus_ssp,Pithecia_pithecia,F,2273371232,254300594.0,129401584.0,0.0,,,89610716529.0,5129968225.0,,2220545725,124580112.0,,0.9768,0.9627,,0.976,,0.993,0.9829,0.9,0.9,True,40.3553,41.1781,,40.399,1.0204,F,chrX,2074762343,116262224.0,13447168,1390637,53953239,1244146,559810.0,,71346.0,2555880.0,,71680.0,0.0006703,0.0006137,0.9155574,0.0260045,0.0219838,,0.8453814,0.0005997,0.0006165,0.0263397,Pithecia_pithecia_ssp4,0.0,True,0.026349,0.0263863,0.0263984,0.9765,0.9768,0.9769,-0.942,0.125,,False,True,ok,ok,ok,ok,ok,,,ok,,,,,,,,,55.5981,57.1884,785134180,733582116,682845192,0.934
PD_0022,PD_0022,PLA,Pitheciidae,Cacajao,ayresi,ssp,Cacajao_ayresi_ssp,C.ayresi_ssp,Cacajao_ayresi_ssp,Pithecia_pithecia,F,2273371232,254300594.0,129401584.0,0.0,,,85169935231.0,4868394726.0,,2221691050,124784776.0,,0.9773,0.9643,,0.9766,,0.993,0.9835,0.9,0.9,True,38.3356,39.0143,,38.3717,1.0177,F,chrX,2069058428,116169823.0,782314,1264078,53982280,769311,33926.0,,55045.0,2569051.0,,47271.0,0.0006109,0.0004738,0.7755743,0.0260903,0.0221146,,0.8476195,0.0003718,0.0004069,0.0263957,Pithecia_pithecia_ssp4,0.0,True,0.026349,0.0263863,0.0263984,0.9765,0.9768,0.9769,0.191,1.375,,False,True,ok,ok,ok,ok,ok,,,ok,,,,,,,,,55.6882,57.2979,742519256,690458985,636101112,0.93
PD_0023,PD_0023,PLA,Pitheciidae,Cacajao,calvus,novaesi,Cacajao_calvus_novaesi,C.calvus_novaesi,Cacajao_calvus_ssp,Pithecia_pithecia,F,2273371232,254300594.0,129401584.0,0.0,,,91540092674.0,5121349851.0,,2221272300,124656292.0,,0.9771,0.9633,,0.9763,,0.993,0.9832,0.9,0.9,True,41.2107,41.0838,,41.2039,0.9969,F,chrX,2074762343,116262224.0,12884645,2511969,53420625,1217951,536293.0,,119626.0,2533546.0,,69251.0,0.0012107,0.0010289,0.8498476,0.0257478,0.0217917,,0.8463491,0.000587,0.0005956,0.0263532,Pithecia_pithecia_ssp4,0.0,True,0.026349,0.0263863,0.0263984,0.9765,0.9768,0.9769,-0.6688,0.875,,False,True,ok,ok,ok,ok,ok,,,ok,,,,,,,,,55.7044,57.3227,794385532,740852730,684141182,0.933
PD_0024,PD_0024,PLA,Pitheciidae,Cacajao,calvus,calvus,Cacajao_calvus_calvus,C.calvus_calvus,Cacajao_calvus_ssp,Pithecia_pithecia,F,2273371232,254300594.0,129401584.0,0.0,,,84701611098.0,4825153017.0,,2220461145,124584984.0,,0.9767,0.9628,,0.976,,0.993,0.9829,0.9,0.9,True,38.146,38.7298,,38.177,1.0153,F,chrX,2074762343,116262224.0,12923267,2326768,53523009,1262146,538571.0,,109798.0,2539673.0,,70674.0,0.0011215,0.0009444,0.8421144,0.0257972,0.0218444,,0.846773,0.0006083,0.0006079,0.0263579,Pithecia_pithecia_ssp4,0.0,True,0.026349,0.0263863,0.0263984,0.9765,0.9768,0.9769,-0.5735,-0.125,,False,True,ok,ok,ok,ok,ok,,,ok,,,,,,,,,55.7117,57.3148,736151912,686319011,636058728,0.932
PD_0025,PD_0025,PLA,Atelidae,Alouatta,seniculus,ssp,Alouatta_seniculus_ssp,A.seniculus_ssp,Alouatta_seniculus_ssp,Ateles_hybridus,F,2466757282,39003866.0,137420414.0,0.0,,,80088986492.0,4548532909.0,,2377874128,130452112.0,,0.964,0.9493,,0.9632,,1.0,0.9632,0.9,0.9,True,33.6809,34.8675,,33.7426,1.0352,F,chrX,1966993304,107166810.0,26608902,4295945,67347908,2923063,771796.0,,130272.0,3189142.0,,109636.0,0.002184,0.0012156,0.5565894,0.034239,0.0297587,,0.8691452,0.0014861,0.001023,0.035331,Ateles_hybridus_ssp4,0.0,True,0.0351737,0.0352615,0.0353345,0.9628,0.964,0.9644,0.4325,0.0,,False,True,ok,ok,ok,ok,ok,,,ok,,,,,,,,,54.349,54.7584,707832820,602181726,506980270,0.851
PD_0026,PD_0026,PLA,Atelidae,Alouatta,seniculus,puruensis,Alouatta_seniculus_puruensis,A.seniculus_puruensis,Alouatta_seniculus_ssp,Ateles_hybridus,F,2466757282,39003866.0,137420414.0,0.0,,,81819355003.0,4177712192.0,,2378776750,130377179.0,,0.9643,0.9487,,0.9635,,1.0,0.9635,0.9,0.9,True,34.3956,32.0433,,34.2733,0.9316,F,chrX,1966993304,107166810.0,26795067,3247773,67560316,3572662,765493.0,,104459.0,3175250.0,,155644.0,0.0016511,0.0009747,0.5903408,0.034347,0.029629,,0.8626385,0.0018163,0.0014524,0.0351726,Ateles_hybridus_ssp4,0.0,True,0.0351737,0.0352615,0.0353345,0.9628,0.964,0.9644,-0.553,0.1765,,False,True,ok,ok,ok,ok,ok,,,ok,,,,,,,,,53.9616,54.3575,736583556,627583033,542551292,0.852
PD_0027,PD_0027,PLA,Atelidae,Alouatta,discolor,ssp,Alouatta_discolor_ssp,A.discolor_ssp,Alouatta_discolor_ssp,Ateles_hybridus,F,2466757282,39003866.0,137420414.0,0.0,,,78376140071.0,4153875880.0,,2382235107,130647123.0,,0.9657,0.9507,,0.9649,,1.0,0.9649,0.9,0.9,True,32.9003,31.7946,,32.8428,0.9664,F,chrX,1946515043,105329689.0,2964713,4769285,66233999,1840159,53549.0,,140573.0,3117694.0,,79466.0,0.0024502,0.0013346,0.5446978,0.034027,0.0295994,,0.8698803,0.0009454,0.0007545,0.035252,Ateles_hybridus_ssp4,0.0,True,0.0351737,0.0352615,0.0353345,0.9628,0.964,0.9644,-0.0586,1.0,,False,True,ok,ok,ok,ok,ok,,,ok,,,,,,,,,53.8804,54.2807,714267682,611963982,533414604,0.857
PD_0028,PD_0028,OWM,Cercopithecidae,Allenopithecus,nigroviridis,ssp,Allenopithecus_nigroviridis_ssp,A.nigroviridis_ssp,Allenopithecus_nigroviridis_ssp,Allenopithecus_nigroviridis,M,2407070459,250827038.0,132264029.0,0.0,,,83759880847.0,2425840761.0,,2387885516,131207553.0,,0.992,0.992,,0.992,,0.9931,0.9989,0.9,0.9,True,35.077,18.4886,,34.213,0.5271,M,chrX,2372517816,130312592.0,3025614,2590010,1968844,213943,,78651.0,,,105393.0,2416.0,0.0010917,,,0.0008299,,0.0008088,,9.02e-05,1.85e-05,0.0013757,Allenopithecus_nigroviridis_ssp1,0.0,True,0.0010131,0.0013424,0.001359,0.992,0.992,0.9923,0.0962,0.0,,False,True,ok,ok,ok,ok,ok,,,ok,,,,,,,,,57.9131,58.6991,711178836,701921953,660643330,0.987
PD_0029,PD_0029,OWM,Cercopithecidae,Allochrocebus,lhoesti,ssp,Allochrocebus_lhoesti_ssp,A.lhoesti_ssp,Allochrocebus_lhoesti_ssp,Chlorocebus_sabaeus,F,2877854980,237540105.0,151995219.0,0.0,,,93037451046.0,4901356942.0,,2807159288,148904485.0,,0.9754,0.9797,,0.9756,,1.0,0.9756,0.9,0.9,True,33.1429,32.9161,,33.1315,0.9932,F,chrX,2477969566,134969787.0,6277802,6023646,22774550,648738,114814.0,,119001.0,1012413.0,,23395.0,0.0024309,0.0008817,0.3627025,0.0091908,0.007501,,0.816145,0.0002618,0.0001733,0.0104063,Chlorocebus_sabaeus_ssp7,0.0,True,0.0103702,0.0103784,0.0103986,0.9725,0.9754,0.9767,0.9767,0.0,,False,True,ok,ok,ok,ok,ok,,,ok,,,,,,,,,49.7149,53.2989,742245218,723835673,691231910,0.975
