chrom	length	end_pos	chr_type	species	reference
NC_060925.1	178860853	248367473	aut	Hylobates_abbotti_ssp	Homo_sapiens_ssp
NC_060926.1	195623632	242614027	aut	Hylobates_abbotti_ssp	Homo_sapiens_ssp
NC_060927.1	158248917	201091448	aut	Hylobates_abbotti_ssp	Homo_sapiens_ssp
NC_060928.1	143801980	193342646	aut	Hylobates_abbotti_ssp	Homo_sapiens_ssp
NC_060929.1	124127930	181817832	aut	Hylobates_abbotti_ssp	Homo_sapiens_ssp
NC_060930.1	137241797	172088286	aut	Hylobates_abbotti_ssp	Homo_sapiens_ssp
NC_060931.1	120337964	160562064	aut	Hylobates_abbotti_ssp	Homo_sapiens_ssp
NC_060932.1	116498640	146235259	aut	Hylobates_abbotti_ssp	Homo_sapiens_ssp
NC_060933.1	87048601	150465192	aut	Hylobates_abbotti_ssp	Homo_sapiens_ssp
NC_060934.1	104975318	134585732	aut	Hylobates_abbotti_ssp	Homo_sapiens_ssp
NC_060935.1	104163301	135122926	aut	Hylobates_abbotti_ssp	Homo_sapiens_ssp
NC_060936.1	105797746	133305934	aut	Hylobates_abbotti_ssp	Homo_sapiens_ssp
NC_060937.1	74227704	113551192	aut	Hylobates_abbotti_ssp	Homo_sapiens_ssp
NC_060938.1	71138344	101129322	aut	Hylobates_abbotti_ssp	Homo_sapiens_ssp
NC_060939.1	63726895	99716441	aut	Hylobates_abbotti_ssp	Homo_sapiens_ssp
NC_060940.1	58297312	96173488	aut	Hylobates_abbotti_ssp	Homo_sapiens_ssp
NC_060941.1	57997218	84227922	aut	Hylobates_abbotti_ssp	Homo_sapiens_ssp
NC_060942.1	62817634	80535033	aut	Hylobates_abbotti_ssp	Homo_sapiens_ssp
NC_060943.1	36129298	61683195	aut	Hylobates_abbotti_ssp	Homo_sapiens_ssp
NC_060944.1	49910461	66168714	aut	Hylobates_abbotti_ssp	Homo_sapiens_ssp
NC_060945.1	26422608	45064906	aut	Hylobates_abbotti_ssp	Homo_sapiens_ssp
NC_060946.1	24727197	51298856	aut	Hylobates_abbotti_ssp	Homo_sapiens_ssp
NC_060947.1	102195447	154219366	chrX	Hylobates_abbotti_ssp	Homo_sapiens_ssp
NC_060948.1	33514	27437274	aut	Hylobates_abbotti_ssp	Homo_sapiens_ssp
NC_060925.1	175450363	248367473	aut	Trachypithecus_francoisi_ssp	Homo_sapiens_ssp
NC_060926.1	189711364	242630205	aut	Trachypithecus_francoisi_ssp	Homo_sapiens_ssp
NC_060927.1	159458680	201091448	aut	Trachypithecus_francoisi_ssp	Homo_sapiens_ssp
NC_060928.1	146021136	193335817	aut	Trachypithecus_francoisi_ssp	Homo_sapiens_ssp
NC_060929.1	140329578	181844881	aut	Trachypithecus_francoisi_ssp	Homo_sapiens_ssp
NC_060930.1	134881508	172088286	aut	Trachypithecus_francoisi_ssp	Homo_sapiens_ssp
NC_060931.1	117132218	160562076	aut	Trachypithecus_francoisi_ssp	Homo_sapiens_ssp
NC_060932.1	113227536	146233131	aut	Trachypithecus_francoisi_ssp	Homo_sapiens_ssp
NC_060933.1	87653657	150465192	aut	Trachypithecus_francoisi_ssp	Homo_sapiens_ssp
NC_060934.1	99964748	134553813	aut	Trachypithecus_francoisi_ssp	Homo_sapiens_ssp
NC_060935.1	96823344	135034796	aut	Trachypithecus_francoisi_ssp	Homo_sapiens_ssp
NC_060936.1	103686875	133312696	aut	Trachypithecus_francoisi_ssp	Homo_sapiens_ssp
NC_060937.1	75311506	113550112	aut	Trachypithecus_francoisi_ssp	Homo_sapiens_ssp
NC_060938.1	68933551	101129841	aut	Trachypithecus_francoisi_ssp	Homo_sapiens_ssp
NC_060939.1	61633880	99717480	aut	Trachypithecus_francoisi_ssp	Homo_sapiens_ssp
NC_060940.1	57743489	96173591	aut	Trachypithecus_francoisi_ssp	Homo_sapiens_ssp
NC_060941.1	56730695	84239663	aut	Trachypithecus_francoisi_ssp	Homo_sapiens_ssp
NC_060942.1	59804329	80533414	aut	Trachypithecus_francoisi_ssp	Homo_sapiens_ssp
NC_060943.1	35254688	61683242	aut	Trachypithecus_francoisi_ssp	Homo_sapiens_ssp
NC_060944.1	48587098	66160430	aut	Trachypithecus_francoisi_ssp	Homo_sapiens_ssp
NC_060945.1	26013274	45059916	aut	Trachypithecus_francoisi_ssp	Homo_sapiens_ssp
NC_060946.1	23618223	51297094	aut	Trachypithecus_francoisi_ssp	Homo_sapiens_ssp
NC_060947.1	96301021	154132917	chrX	Trachypithecus_francoisi_ssp	Homo_sapiens_ssp
NC_060948.1	62105	27437274	aut	Trachypithecus_francoisi_ssp	Homo_sapiens_ssp
NC_060925.1	173899728	248367473	aut	Trachypithecus_auratus_ssp	Homo_sapiens_ssp
NC_060926.1	188136450	242630205	aut	Trachypithecus_auratus_ssp	Homo_sapiens_ssp
NC_060927.1	158228279	201091448	aut	Trachypithecus_auratus_ssp	Homo_sapiens_ssp
NC_060928.1	144798162	193335817	aut	Trachypithecus_auratus_ssp	Homo_sapiens_ssp
NC_060929.1	138351883	181835089	aut	Trachypithecus_auratus_ssp	Homo_sapiens_ssp
NC_060930.1	133790652	172088286	aut	Trachypithecus_auratus_ssp	Homo_sapiens_ssp
NC_060931.1	116182607	160562076	aut	Trachypithecus_auratus_ssp	Homo_sapiens_ssp
NC_060932.1	112265516	146233131	aut	Trachypithecus_auratus_ssp	Homo_sapiens_ssp
NC_060933.1	86927044	150465192	aut	Trachypithecus_auratus_ssp	Homo_sapiens_ssp
NC_060934.1	99408110	134553813	aut	Trachypithecus_auratus_ssp	Homo_sapiens_ssp
NC_060935.1	96054212	135034796	aut	Trachypithecus_auratus_ssp	Homo_sapiens_ssp
NC_060936.1	102642399	133312696	aut	Trachypithecus_auratus_ssp	Homo_sapiens_ssp
NC_060937.1	74663491	113550112	aut	Trachypithecus_auratus_ssp	Homo_sapiens_ssp
NC_060938.1	68349239	101129841	aut	Trachypithecus_auratus_ssp	Homo_sapiens_ssp
NC_060939.1	61187058	99717480	aut	Trachypithecus_auratus_ssp	Homo_sapiens_ssp
NC_060940.1	57284855	96173591	aut	Trachypithecus_auratus_ssp	Homo_sapiens_ssp
NC_060941.1	56194901	84239663	aut	Trachypithecus_auratus_ssp	Homo_sapiens_ssp
NC_060942.1	59336274	80533414	aut	Trachypithecus_auratus_ssp	Homo_sapiens_ssp
NC_060943.1	34668971	61678093	aut	Trachypithecus_auratus_ssp	Homo_sapiens_ssp
NC_060944.1	48162135	66160430	aut	Trachypithecus_auratus_ssp	Homo_sapiens_ssp
NC_060945.1	25789658	45059916	aut	Trachypithecus_auratus_ssp	Homo_sapiens_ssp
NC_060946.1	23409945	51297094	aut	Trachypithecus_auratus_ssp	Homo_sapiens_ssp
NC_060947.1	94404106	154132917	chrX	Trachypithecus_auratus_ssp	Homo_sapiens_ssp
NC_060948.1	60224	27351262	aut	Trachypithecus_auratus_ssp	Homo_sapiens_ssp
NC_060925.1	140900507	248339161	aut	Pithecia_hirsuta_ssp	Homo_sapiens_ssp
NC_060926.1	154761422	242614027	aut	Pithecia_hirsuta_ssp	Homo_sapiens_ssp
NC_060927.1	125287525	200870540	aut	Pithecia_hirsuta_ssp	Homo_sapiens_ssp
NC_060928.1	117161026	193335817	aut	Pithecia_hirsuta_ssp	Homo_sapiens_ssp
NC_060929.1	115854719	181829274	aut	Pithecia_hirsuta_ssp	Homo_sapiens_ssp
NC_060930.1	106897882	171965862	aut	Pithecia_hirsuta_ssp	Homo_sapiens_ssp
NC_060931.1	91885592	160543483	aut	Pithecia_hirsuta_ssp	Homo_sapiens_ssp
NC_060932.1	89475146	146230808	aut	Pithecia_hirsuta_ssp	Homo_sapiens_ssp
NC_060933.1	70404921	150579220	aut	Pithecia_hirsuta_ssp	Homo_sapiens_ssp
NC_060934.1	80539965	134552376	aut	Pithecia_hirsuta_ssp	Homo_sapiens_ssp
NC_060935.1	81647364	135117559	aut	Pithecia_hirsuta_ssp	Homo_sapiens_ssp
NC_060936.1	82673857	133288490	aut	Pithecia_hirsuta_ssp	Homo_sapiens_ssp
NC_060937.1	61301114	113538841	aut	Pithecia_hirsuta_ssp	Homo_sapiens_ssp
NC_060938.1	56487136	101087786	aut	Pithecia_hirsuta_ssp	Homo_sapiens_ssp
NC_060939.1	47959467	99656813	aut	Pithecia_hirsuta_ssp	Homo_sapiens_ssp
NC_060940.1	46108413	96173483	aut	Pithecia_hirsuta_ssp	Homo_sapiens_ssp
NC_060941.1	43712992	84226079	aut	Pithecia_hirsuta_ssp	Homo_sapiens_ssp
NC_060942.1	48997883	80533107	aut	Pithecia_hirsuta_ssp	Homo_sapiens_ssp
NC_060943.1	24575857	61672389	aut	Pithecia_hirsuta_ssp	Homo_sapiens_ssp
NC_060944.1	39146633	66166050	aut	Pithecia_hirsuta_ssp	Homo_sapiens_ssp
NC_060945.1	19964078	45053160	aut	Pithecia_hirsuta_ssp	Homo_sapiens_ssp
NC_060946.1	18786851	51297094	aut	Pithecia_hirsuta_ssp	Homo_sapiens_ssp
NC_060947.1	83013857	154132917	chrX	Pithecia_hirsuta_ssp	Homo_sapiens_ssp
NC_060948.1	19352	62102532	aut	Pithecia_hirsuta_ssp	Homo_sapiens_ssp
NC_060925.1	92024261	248332155	aut	Microcebus_murinus_ssp	Homo_sapiens_ssp
NC_060926.1	104603232	242364498	aut	Microcebus_murinus_ssp	Homo_sapiens_ssp
NC_060927.1	83089990	201092431	aut	Microcebus_murinus_ssp	Homo_sapiens_ssp
NC_060928.1	62115957	193327005	aut	Microcebus_murinus_ssp	Homo_sapiens_ssp
NC_060929.1	72751999	181824078	aut	Microcebus_murinus_ssp	Homo_sapiens_ssp
NC_060930.1	72954034	172085361	aut	Microcebus_murinus_ssp	Homo_sapiens_ssp
NC_060931.1	60424382	159849097	aut	Microcebus_murinus_ssp	Homo_sapiens_ssp
NC_060932.1	57222947	146178721	aut	Microcebus_murinus_ssp	Homo_sapiens_ssp
NC_060933.1	47275660	150410284	aut	Microcebus_murinus_ssp	Homo_sapiens_ssp
NC_060934.1	50947994	134553038	aut	Microcebus_murinus_ssp	Homo_sapiens_ssp
NC_060935.1	54179836	135116996	aut	Microcebus_murinus_ssp	Homo_sapiens_ssp
NC_060936.1	50860441	133133224	aut	Microcebus_murinus_ssp	Homo_sapiens_ssp
NC_060937.1	40160552	113540085	aut	Microcebus_murinus_ssp	Homo_sapiens_ssp
NC_060938.1	37032092	100133648	aut	Microcebus_murinus_ssp	Homo_sapiens_ssp
NC_060939.1	33540018	99743089	aut	Microcebus_murinus_ssp	Homo_sapiens_ssp
NC_060940.1	27907458	96150646	aut	Microcebus_murinus_ssp	Homo_sapiens_ssp
NC_060941.1	28720367	84227742	aut	Microcebus_murinus_ssp	Homo_sapiens_ssp
NC_060942.1	31251412	80523796	aut	Microcebus_murinus_ssp	Homo_sapiens_ssp
NC_060943.1	9282790	61675724	aut	Microcebus_murinus_ssp	Homo_sapiens_ssp
NC_060944.1	25226200	66168714	aut	Microcebus_murinus_ssp	Homo_sapiens_ssp
NC_060945.1	13251197	45058319	aut	Microcebus_murinus_ssp	Homo_sapiens_ssp
NC_060946.1	10096196	51294851	aut	Microcebus_murinus_ssp	Homo_sapiens_ssp
NC_060947.1	42726108	154003805	chrX	Microcebus_murinus_ssp	Homo_sapiens_ssp
NC_060948.1	4242	27441666	aut	Microcebus_murinus_ssp	Homo_sapiens_ssp
NC_060925.1	148564947	248367473	aut	Plecturocebus_caligatus_ssp	Homo_sapiens_ssp
NC_060926.1	167128256	242614027	aut	Plecturocebus_caligatus_ssp	Homo_sapiens_ssp
NC_060927.1	134639612	200870540	aut	Plecturocebus_caligatus_ssp	Homo_sapiens_ssp
NC_060928.1	128131522	193335817	aut	Plecturocebus_caligatus_ssp	Homo_sapiens_ssp
NC_060929.1	124294320	181836656	aut	Plecturocebus_caligatus_ssp	Homo_sapiens_ssp
NC_060930.1	116256825	172088406	aut	Plecturocebus_caligatus_ssp	Homo_sapiens_ssp
NC_060931.1	99560526	160543483	aut	Plecturocebus_caligatus_ssp	Homo_sapiens_ssp
NC_060932.1	96916233	146234119	aut	Plecturocebus_caligatus_ssp	Homo_sapiens_ssp
NC_060933.1	75516778	150465191	aut	Plecturocebus_caligatus_ssp	Homo_sapiens_ssp
NC_060934.1	86489717	134550818	aut	Plecturocebus_caligatus_ssp	Homo_sapiens_ssp
NC_060935.1	87778238	135117559	aut	Plecturocebus_caligatus_ssp	Homo_sapiens_ssp
NC_060936.1	88351295	133295236	aut	Plecturocebus_caligatus_ssp	Homo_sapiens_ssp
NC_060937.1	65981217	113550110	aut	Plecturocebus_caligatus_ssp	Homo_sapiens_ssp
NC_060938.1	60684546	101016109	aut	Plecturocebus_caligatus_ssp	Homo_sapiens_ssp
NC_060939.1	51860031	99656791	aut	Plecturocebus_caligatus_ssp	Homo_sapiens_ssp
NC_060940.1	49872045	96174870	aut	Plecturocebus_caligatus_ssp	Homo_sapiens_ssp
NC_060941.1	48866806	84237841	aut	Plecturocebus_caligatus_ssp	Homo_sapiens_ssp
NC_060942.1	53243700	80532913	aut	Plecturocebus_caligatus_ssp	Homo_sapiens_ssp
NC_060943.1	26355782	61672389	aut	Plecturocebus_caligatus_ssp	Homo_sapiens_ssp
NC_060944.1	41602803	66166050	aut	Plecturocebus_caligatus_ssp	Homo_sapiens_ssp
NC_060945.1	21549225	45053160	aut	Plecturocebus_caligatus_ssp	Homo_sapiens_ssp
NC_060946.1	19712223	51297094	aut	Plecturocebus_caligatus_ssp	Homo_sapiens_ssp
NC_060947.1	82919949	154155493	chrX	Plecturocebus_caligatus_ssp	Homo_sapiens_ssp
NC_060948.1	58784	62113917	aut	Plecturocebus_caligatus_ssp	Homo_sapiens_ssp
NC_060925.1	179863396	248368172	aut	Hylobates_agilis_ssp	Homo_sapiens_ssp
NC_060926.1	196699458	242614027	aut	Hylobates_agilis_ssp	Homo_sapiens_ssp
NC_060927.1	158097240	201091448	aut	Hylobates_agilis_ssp	Homo_sapiens_ssp
NC_060928.1	144965467	193338273	aut	Hylobates_agilis_ssp	Homo_sapiens_ssp
NC_060929.1	125076689	181818331	aut	Hylobates_agilis_ssp	Homo_sapiens_ssp
NC_060930.1	138072099	172088286	aut	Hylobates_agilis_ssp	Homo_sapiens_ssp
NC_060931.1	120918320	160562064	aut	Hylobates_agilis_ssp	Homo_sapiens_ssp
NC_060932.1	117129409	146235264	aut	Hylobates_agilis_ssp	Homo_sapiens_ssp
NC_060933.1	87260375	150465192	aut	Hylobates_agilis_ssp	Homo_sapiens_ssp
NC_060934.1	105392474	134585732	aut	Hylobates_agilis_ssp	Homo_sapiens_ssp
NC_060935.1	104727973	135122926	aut	Hylobates_agilis_ssp	Homo_sapiens_ssp
NC_060936.1	106141474	133302419	aut	Hylobates_agilis_ssp	Homo_sapiens_ssp
NC_060937.1	74870274	113551196	aut	Hylobates_agilis_ssp	Homo_sapiens_ssp
NC_060938.1	71516284	101129322	aut	Hylobates_agilis_ssp	Homo_sapiens_ssp
NC_060939.1	63902738	99716441	aut	Hylobates_agilis_ssp	Homo_sapiens_ssp
NC_060940.1	58448581	96173488	aut	Hylobates_agilis_ssp	Homo_sapiens_ssp
NC_060941.1	57977392	84227922	aut	Hylobates_agilis_ssp	Homo_sapiens_ssp
NC_060942.1	63132017	80535019	aut	Hylobates_agilis_ssp	Homo_sapiens_ssp
NC_060943.1	35509778	61683228	aut	Hylobates_agilis_ssp	Homo_sapiens_ssp
NC_060944.1	50065291	66168714	aut	Hylobates_agilis_ssp	Homo_sapiens_ssp
NC_060945.1	26508804	45064331	aut	Hylobates_agilis_ssp	Homo_sapiens_ssp
NC_060946.1	25002596	51298856	aut	Hylobates_agilis_ssp	Homo_sapiens_ssp
NC_060947.1	106037353	154219366	chrX	Hylobates_agilis_ssp	Homo_sapiens_ssp
NC_060948.1	34299	27437274	aut	Hylobates_agilis_ssp	Homo_sapiens_ssp
NC_060925.1	177880319	248367473	aut	Macaca_cyclopis_ssp	Homo_sapiens_ssp
NC_060926.1	191826854	242630205	aut	Macaca_cyclopis_ssp	Homo_sapiens_ssp
NC_060927.1	160300490	201091448	aut	Macaca_cyclopis_ssp	Homo_sapiens_ssp
NC_060928.1	150061893	193335817	aut	Macaca_cyclopis_ssp	Homo_sapiens_ssp
NC_060929.1	142736334	181844881	aut	Macaca_cyclopis_ssp	Homo_sapiens_ssp
NC_060930.1	135556951	172085361	aut	Macaca_cyclopis_ssp	Homo_sapiens_ssp
NC_060931.1	117713743	160553530	aut	Macaca_cyclopis_ssp	Homo_sapiens_ssp
NC_060932.1	114932920	146233131	aut	Macaca_cyclopis_ssp	Homo_sapiens_ssp
NC_060933.1	88032575	150465192	aut	Macaca_cyclopis_ssp	Homo_sapiens_ssp
NC_060934.1	102381193	134553813	aut	Macaca_cyclopis_ssp	Homo_sapiens_ssp
NC_060935.1	100115356	135123417	aut	Macaca_cyclopis_ssp	Homo_sapiens_ssp
NC_060936.1	104270981	133316840	aut	Macaca_cyclopis_ssp	Homo_sapiens_ssp
NC_060937.1	75272020	113550109	aut	Macaca_cyclopis_ssp	Homo_sapiens_ssp
NC_060938.1	71138633	101155759	aut	Macaca_cyclopis_ssp	Homo_sapiens_ssp
NC_060939.1	62284590	99717484	aut	Macaca_cyclopis_ssp	Homo_sapiens_ssp
NC_060940.1	57980871	96170304	aut	Macaca_cyclopis_ssp	Homo_sapiens_ssp
NC_060941.1	58352119	84222115	aut	Macaca_cyclopis_ssp	Homo_sapiens_ssp
NC_060942.1	60176971	80532360	aut	Macaca_cyclopis_ssp	Homo_sapiens_ssp
NC_060943.1	34618826	61683242	aut	Macaca_cyclopis_ssp	Homo_sapiens_ssp
NC_060944.1	48709457	66168714	aut	Macaca_cyclopis_ssp	Homo_sapiens_ssp
NC_060945.1	26196793	45059916	aut	Macaca_cyclopis_ssp	Homo_sapiens_ssp
NC_060946.1	24179434	51297094	aut	Macaca_cyclopis_ssp	Homo_sapiens_ssp
NC_060947.1	104534356	154219366	chrX	Macaca_cyclopis_ssp	Homo_sapiens_ssp
NC_060948.1	48815	62098752	aut	Macaca_cyclopis_ssp	Homo_sapiens_ssp
NC_060925.1	144845493	248362883	aut	Saguinus_oedipus_ssp	Homo_sapiens_ssp
NC_060926.1	162233922	242614027	aut	Saguinus_oedipus_ssp	Homo_sapiens_ssp
NC_060927.1	130782151	200870540	aut	Saguinus_oedipus_ssp	Homo_sapiens_ssp
NC_060928.1	124684394	193335817	aut	Saguinus_oedipus_ssp	Homo_sapiens_ssp
